Cuisines,Aggregate rating
"Continental, American, Seafood",4.2
"Continental, American, Tex-Mex, North Indian",3.5
"Continental, Asian",4.2
"Continental, Asian, Italian, Mediterranean, Burger",3.8
"Continental, Asian, North Indian",3.4
"Continental, Asian, North Indian, Italian",3.5
"Continental, Asian, Sushi",4.2
"Continental, Burger, American",3.5
"Continental, Burger, Pizza, North Indian, European, Finger Food",3.9
"Continental, Cafe",3.7
"Continental, Cafe, Desserts, Bakery",4.3
"Continental, Cafe, Italian, Desserts",4.4
"Continental, Cafe, Italian, Pizza, North Indian, Chinese, Bakery, Mughlai",3.4
"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",4.5
"Continental, Chinese",3.65
"Continental, Chinese, Biryani, North Indian",3.6
"Continental, Chinese, Fast Food",0
"Continental, Chinese, Italian, Bakery",4.2
"Continental, Chinese, Italian, Cafe",3.4
"Continental, Chinese, Italian, Finger Food",4.3
"Continental, Chinese, Japanese, North Indian, Thai",3
"Continental, Chinese, Mexican, North Indian",3.8
"Continental, Chinese, North Indian",3.042857143
"Continental, Chinese, North Indian, Healthy Food",3.2
"Continental, Chinese, North Indian, Indian",0
"Continental, Chinese, North Indian, Mughlai",3.1
"Continental, Chinese, Thai",4.1
"Continental, Chinese, Thai, Malaysian, North Indian",3.8
"Continental, Chinese, Thai, Mediterranean",3.4
"Continental, Chinese, Thai, Mughlai, North Indian",3.85
"Continental, European",3.9
"Continental, European, Asian, North Indian, Chinese, Italian",4.1
"Continental, European, North Indian",2.6
"Continental, European, North Indian, French",4
"Continental, Fast Food",3.266666667
"Continental, Fast Food, Asian, Italian",3.8
"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",4
"Continental, Fast Food, Desserts, Indian",3.8
"Continental, Fast Food, Italian",2.1
"Continental, Fast Food, North Indian, Asian",3.6
"Continental, Fast Food, Tea",3.9
"Continental, Finger Food",3.4
"Continental, Finger Food, Chinese, North Indian",3.8
"Continental, Goan, Seafood, North Indian",4.5
"Continental, Healthy Food",3.75
"Continental, Indian",4.9
"Continental, Italian",3.538461538
"Continental, Italian, American",4.1
"Continental, Italian, American, North Indian",3.3
"Continental, Italian, Asian, Indian",4.7
"Continental, Italian, Chinese",4.1
"Continental, Italian, Fast Food",0
"Continental, Italian, Mediterranean",3.8
"Continental, Italian, Mediterranean, Asian",4.1
"Continental, Italian, Mexican",3.4
"Continental, Italian, North Indian",3.616666667
"Continental, Italian, North Indian, American",3.5
"Continental, Italian, North Indian, Chinese",4
"Continental, Italian, North Indian, Chinese, Lebanese",3.8
"Continental, Italian, North Indian, Lebanese",2.8
"Continental, Italian, North Indian, Lebanese, Thai",4
"Continental, Italian, North Indian, Mughlai",4.4
"Continental, Italian, Pizza, Asian",4.6
"Continental, Italian, Thai, Finger Food",4
"Continental, Juices, Cafe, Desserts, Salad, Italian",4.2
